id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
5041,NtO'KEH,,,2,,,,,KR,Z,-0.7513480502537,28,29,8220734,
684,Fortune,Nik Nevermann,,2,2651,2,Fortune,342,BR,Z,-0.94958744421122,56,57,8214322,
2563,slash,,,2,,,,,KR,P,-0.71917837902339,27,28,8212874,
14056,bearface,,,,,,,,US,R,-1.58820099467828,25,26,8212211,
1292,Cheticus,Chet van Gaasbeek,,,3634,2,,,US,Z,-1.36488007381866,145,146,8223258,
8350,SirMalagant,Ben James Ambalong,,3,,0,,,US,P,-1.72388206378905,86,87,8220483,
19872,chibichan,,,,,0,,,UK,T,-1.93425452521893,30,31,8226799,
6824,ChieftaN,Thomas Davis,,,,,"",,US,T,,25,26,8223895,
17467,Chomusuke,"",,,,,"",,RU,Z,-1.72474949986345,25,26,8214009,""
9706,Climate,"",,,,0,"",,FR,P,-1.49950517767992,61,62,8223084,""
10800,Ward,Nicholas Brown,,3,,0,"",,US,T,-2.27857286819863,202,203,8207247,""
12835,Nomad,"",,3,,,"",,,Z,-1.47542778400786,37,38,8217329,""
3224,Infestor,,,5,3143,2,,,US,Z,-0.594224435621771,28,29,8225897,
14228,DonCalone,Pascal Mazarin,,,,0,"",,DE,Z,-1.73307264376983,54,55,8221392,""
6288,Ever,石磊,,,,0,,,CN,Z,-1.38490466473928,111,112,8224599,Shi Lei
14623,Fish,"",,,,,"",,,T,-1.55965846722782,26,27,8212588,""
20036,flent,,,,,0,,,FR,Z,-2.18158087858525,51,52,8217214,
18608,Fletch,,,,,0,,,CA,P,-2.20701728991357,105,106,8228164,
23181,Flickshot,,,,,,,,US,Z,-2.08490162275794,25,26,8226708,
10704,Fluid,Jacob Martinez,,,,0,"",,US,Z,-1.93641359272002,132,133,8224559,""
23272,Haddley,,,,,,,,FR,Z,-2.09913376503306,28,29,8211166,
2511,HaDeZ,พีรวัส วุฒิภักดี,,,3522,3,,,TH,P,-0.8549923033746,61,62,8212820,Peerawath Wutthiphagdee
5720,Haneul,Zhang Zhe,,,,0,,,US,P,-0.964568576698659,69,70,8219173,
11535,skiboots,,,3,,,,,US,T,-1.79045319270201,86,87,8220502,
7929,cedric,,,,,,,,FR,R,-1.02012681238931,27,28,8207433,
13486,ChrisBenoit,,,,,,,,DE,T,-1.40620581454511,26,27,8211751,
18661,CleaR,,,,,0,,,NI,T,-1.9656127747453,60,61,8221447,
18836,ClearGloom,,,,,,,,CA,P,-1.8394505513988,28,29,8219865,
3297,Clefable,,,,3271,2,,,US,T,-0.582612684028026,28,29,8212506,
7583,evilbox,,,,,,,,PH,P,-0.875722201845927,27,28,8209900,
14642,Excalibur,,,,,,,,,Z,-1.6030448700652,27,28,8215405,
7680,EzDefault,,,,,,,,AU,T,-0.905140988426488,27,28,8209503,
2444,Fatalimer,Константин Ермолаев,,,3075,3,"",,RU,P,-1.06636974013974,100,101,8213053,Konstantin Ermolaev
8378,fishleong,,,,,,,,CN,Z,-1.1200071208527,28,29,8210018,
2524,Flarierza,,,,,,,,AU,T,-0.720047595278827,28,29,8217910,
11425,flarnot,,,,,,,,,Z,-1.29259178121245,25,26,8218966,
6144,flatu,,,,,,,,DE,Z,-1.01919133637353,28,29,8227066,
3476,FlawlessKalu,,,,4839,2,,,,T,-0.637808061406695,28,29,8207468,
13288,Flegias,"",,,,,"",,IT,P,-1.41182985279373,25,26,8222470,""
17792,Flex,"",,,,,"",,NL,P,-2.16583942922762,95,96,8211642,""
16060,Flozor,,,,,0,,,FR,T,-1.76777955916841,46,47,8210078,
